original_title;english_title;rating;year;film_poster;genres
The Shawshank Redemption;The Shawshank Redemption;9.3;1994
The Godfather;The Godfather;9.2;1972
The Dark Knight;The Dark Knight;9.0;2008
The Godfather: Part II;The Godfather: Part II;9.0;1974
12 Angry Men;12 Angry Men;9.0;1957
The Lord of the Rings: The Return of the King;The Lord of the Rings: The Return of the King;9.0;2003
Schindler's List;Schindler's List;9.0;1993
Pulp Fiction;Pulp Fiction;8.9;1994
The Lord of the Rings: The Fellowship of the Ring;The Lord of the Rings: The Fellowship of the Ring;8.9;2001
Il buono, il brutto, il cattivo;The Good, the Bad and the Ugly;8.8;1966
Forrest Gump;Forrest Gump;8.8;1994
The Lord of the Rings: The Two Towers;The Lord of the Rings: The Two Towers;8.8;2002
Fight Club;Fight Club;8.8;1999
Inception;Inception;8.8;2010
Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episode V - The Empire Strikes Back;8.7;1980
The Matrix;The Matrix;8.7;1999
Goodfellas;GoodFellas;8.7;1990
One Flew Over the Cuckoo's Nest;One Flew Over the Cuckoo's Nest;8.7;1975
Interstellar;Interstellar;8.7;2014
Se7en;Seven;8.6;1995
It's a Wonderful Life;It's a Wonderful Life;8.6;1946
Shichinin no samurai;Seven Samurai;8.6;1954
The Silence of the Lambs;The Silence of the Lambs;8.6;1991
Saving Private Ryan;Saving Private Ryan;8.6;1998
Cidade de Deus;City of God,8.6;2002
The Green Mile;The Green Mile;8.6;1999
La vita è bella;Life Is Beautiful;8.6;1997
Terminator 2: Judgment Day;Terminator 2: Judgment Day;8.6;1991
Star Wars: Episode IV - A New Hope;Star Wars: Episode IV - A New Hope;8.6;1977
Back to the Future;Back to the Future;8.5;1985
Sen to Chihiro no kamikakushi;Spirited Away;8.6;2001
The Pianist;The Pianist;8.5;2002
Gisaengchung;Parasite;8.5;2019
Gladiator;Gladiator;8.5;2000
Psycho;Psycho;8.5;1960
The Lion King;The Lion King;8.5;1994
The Departed;The Departed;8.5;2006
Spider-Man: Across the Spider-Verse;Spider-Man: Across the Spider-Verse;8.6;2023
Hotaru no haka;Grave of the Fireflies;8.5;1988
Whiplash;Whiplash;8.5;2014
American History X;American History X;8.5;1998
Léon;Leon;8.5;1994
The Prestige;The Prestige;8.5;2006
Seppuku;Harakiri;8.6;1962
Casablanca;Casablanca;8.5;1942
The Usual Suspects;The Usual Suspects;8.5;1995
Intouchables;Untouchable;8.5;2011
Nuovo Cinema Paradiso;Cinema Paradiso;8.5;1988
Dune: Part Two;Dune: Part Two;8.5;2024
Modern Times;Modern Times;8.5;1936
Alien;Alien;8.5;1979
Rear Window;Rear Window;8.5;1954
C'era una volta il West;Once Upon a Time in the West;8.5;1968
Django Unchained;Django Unchained;8.5;2012
City Lights;City Lights;8.5;1931
Apocalypse Now;Apocalypse Now;8.4;1979
Memento;Memento;8.4;2000
WALL·E;WALL·E;8.4;2008
Raiders of the Lost Ark;Raiders of the Lost Ark;8.4;1981
Das Leben der Anderen;The Lives of Others;8.4;2006
12th Fail;12th Fail;8.8;2023
Sunset Boulevard;Sunset Boulevard;8.4;1950
Avengers: Infinity War;Avengers: Infinity War;8.4,2018
Spider-Man: Into the Spider-Verse;Spider-Man: Into the Spider-Verse;8.4,2018
Paths of Glory;Paths of Glory;8.4,1957
Witness for the Prosecution;Witness for the Prosecution;8.4,1957
The Shining;The Shining;8.4,1980
The Great Dictator;The Great Dictator;8.4,1940
Aliens;Aliens;8.4,1986
Inglourious Basterds;Inglourious Basterds;8.4,2009
The Dark Knight Rises;The Dark Knight Rises;8.4,2012
Coco;Coco;8.4,2017
Amadeus;Amadeus;8.4,1984
Toy Story;Toy Story;8.3,1995
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;8.3,1964
Oldeuboi;Oldboy;8.3,2003
American Beauty;American Beauty;8.3,1999
Avengers: Endgame;Avengers: Endgame;8.4,2019
Das Boot;Das Boot;8.4,1981
Good Will Hunting;Good Will Hunting;8.3,1997
Braveheart;Braveheart;8.3,1995
Mononoke-hime;Princess Mononoke;8.3;1997
Kimi no na wa.;Your Name.;8.4;2016
Tengoku to jigoku;High and Low;8.4;1963
Joker;Joker;8.4;2019
3 Idiots;3 Idiots;8.4;2009
Once Upon a Time in America;Once Upon a Time in America;8.3;1984
Singin' in the Rain;Singin' in the Rain;8.3;1952
Capharnaüm;Capernaum;8.4;2018
Requiem for a Dream;Requiem for a Dream;8.3;2000
Idi i smotri;Come and See;8.3;1985
Toy Story 3;Toy Story 3;8.3;2010
Star Wars: Episode VI - Return of the Jedi;Star Wars: Episode VI - Return of the Jedi;8.3;1983
Jagten;The Hunt;8.3;2012
Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind;8.3;2004
Ikiru;Ikiru;8.3;1952
2001: A Space Odyssey;2001: A Space Odyssey;8.3;1968
Reservoir Dogs;Reservoir Dogs;8.3;1992
Lawrence of Arabia;Lawrence of Arabia;8.3;1962
The Apartment;The Apartment;8.3;1960
Incendies;Incendies;8.3;2010
Scarface;Scarface;8.3;1983
North by Northwest;North by Northwest;8.3;1959
Double Indemnity;Double Indemnity;8.3;1944
Citizen Kane;Citizen Kane;8.3;1941
M - Eine Stadt sucht einen Mörder;M;8.3;1931
Heat;Heat;8.3;1995
Vertigo;Vertigo;8.3;1958
Full Metal Jacket;Full Metal Jacket;8.2;1987
Oppenheimer;Oppenheimer;8.3;2023
Up;Up;8.3;2009
Le fabuleux destin d'Amélie Poulain;Amélie;8.3;2001
A Clockwork Orange;A Clockwork Orange;8.2;1971
To Kill a Mockingbird;To Kill a Mockingbird;8.3;1962
Jodaeiye Nader az Simin;A Separation;8.3;2011
The Sting;The Sting;8.3;1973
Die Hard;Die Hard;8.2;1988
Taare Zameen Par;Like Stars on Earth;8.3;2007
Metropolis;Metropolis;8.3;1927
Snatch;Snatch;8.2;2000
1917;1917;8.2;2019
L.A. Confidential;L.A. Confidential;8.2;1997
Ladri di biciclette;Bicycle Thieves;8.3;1948
Der Untergang;Downfall;8.2;2004
Taxi Driver;Taxi Driver;8.2;1976
Hamilton;Hamilton;8.3;2020
Dangal;Dangal;8.3;2016
The Wolf of Wall Street;The Wolf of Wall Street;8.2;2013
Batman Begins;Batman Begins;8.2;2005
Per qualche dollaro in più;For a Few Dollars More;8.2;1965
Green Book;Green Book;8.2;2018
Some Like It Hot;Some Like It Hot;8.2;1959
The Truman Show;The Truman Show;8.2;1998
Judgment at Nuremberg;Judgment at Nuremberg;8.3;1961
The Kid;The Kid;8.2;1921
The Father;The Father;8.2;2020
Shutter Island;Shutter Island;8.2;2010
All About Eve;All About Eve;8.2;1950
There Will Be Blood;There Will Be Blood;8.2;2007
Jurassic Park;Jurassic Park;8.2;1993
Casino;Casino;8.2;1995
Top Gun: Maverick;Top Gun: Maverick;8.2;2022
The Sixth Sense;The Sixth Sense;8.2;1999
Ran;Ran;8.2;1985
El laberinto del fauno;Pan's Labyrinth;8.2;2006
No Country for Old Men;No Country for Old Men;8.2;2007
Unforgiven;Unforgiven;8.2;1992
The Thing;The Thing;8.2;1982
A Beautiful Mind;A Beautiful Mind;8.2;2001
Kill Bill: Vol. 1;Kill Bill: Vol. 1;8.2;2003
The Treasure of the Sierra Madre;The Treasure of the Sierra Madre;8.2;1948
The Wild Robot;The Wild Robot;8.3;2024
Yôjinbô;Yojimbo;8.2;1961
Prisoners;Prisoners;8.2;2013
Finding Nemo;Finding Nemo;8.2;2003
Monty Python and the Holy Grail;Monty Python and the Holy Grail;8.2;1975
Hauru no ugoku shiro;Howl's Moving Castle;8.2;2004
The Elephant Man;The Elephant Man;8.2;1980
Rashômon;Rashomon;8.2;1950
Dial M for Murder;Dial M for Murder;8.2;1954
Gone with the Wind;Gone with the Wind;8.2;1939
Chinatown;Chinatown;8.1;1974
El secreto de sus ojos;The Secret in Their Eyes;8.2;2009
Lock, Stock and Two Smoking Barrels;Lock, Stock and Two Smoking Barrels;8.1;1998
Inside Out;Inside Out;8.1;2015
V for Vendetta;V for Vendetta;8.1;2005
Three Billboards Outside Ebbing, Missouri;Three Billboards Outside Ebbing, Missouri;8.1;2017
Raging Bull;Raging Bull;8.1;1980
Klaus;Klaus;8.2;2019
Trainspotting;Trainspotting;8.1;1996
The Bridge on the River Kwai;The Bridge on the River Kwai;8.1;1957
Catch Me If You Can;Catch Me If You Can;8.1;2002
Fargo;Fargo;8.1;1996
Warrior;Warrior;8.1;2011
Spider-Man: No Way Home;Spider-Man: No Way Home;8.2;2021
Gran Torino;Gran Torino;8.1;2008
Harry Potter and the Deathly Hallows: Part 2;Harry Potter and the Deathly Hallows: Part 2;8.1;2011
Million Dollar Baby;Million Dollar Baby;8.1;2004
Tonari no Totoro;My Neighbour Totoro;8.1;1988
Mad Max: Fury Road;Mad Max: Fury Road;8.1;2015
Ben-Hur;Ben-Hur;8.1;1959
Bacheha-ye aseman;Children of Heaven;8.2;1997
Barry Lyndon;Barry Lyndon;8.1;1975
12 Years a Slave;12 Years a Slave;8.1;2013
Blade Runner;Blade Runner;8.1;1982
Before Sunrise;Before Sunrise;8.1;1995
The Grand Budapest Hotel;The Grand Budapest Hotel;8.1;2014
Hacksaw Ridge;Hacksaw Ridge;8.1;2016
Dead Poets Society;Dead Poets Society;8.1;1989
Gone Girl;Gone Girl;8.1;2014
Salinui chueok;Memories of Murder;8.1;2003
In the Name of the Father;In the Name of the Father;8.1;1993
Maharaja;Maharaja;8.5;2024
The Gold Rush;The Gold Rush;8.1;1925
Monsters, Inc.;Monsters, Inc.;8.1;2001
Relatos salvajes;Wild Tales;8.1;2014
Ratatouille;Ratatouille;8.1;2007
How to Train Your Dragon;How to Train Your Dragon;8.1;2010
The Deer Hunter;The Deer Hunter;8.1;1978
Jaws;Jaws;8.1;1975
Sherlock Jr.;Sherlock Jr.;8.2;1924
The General;The General;8.1;1926
Mary and Max;Mary and Max;8.1;2009
On the Waterfront;On the Waterfront;8.1;1954
Le salaire de la peur;The Wages of Fear;8.1;1953
Ford v Ferrari;Le Mans '66;8.1;2019
Smultronstället;Wild Strawberries;8.1;1957
Mr. Smith Goes to Washington;Mr. Smith Goes to Washington;8.1;1939
The Third Man;The Third Man;8.1;1949
Logan;Logan;8.1;2017
Rocky;Rocky;8.1;1976
Tôkyô monogatari;Tokyo Story;8.1;1953
The Big Lebowski;The Big Lebowski;8.1;1998
Det sjunde inseglet;The Seventh Seal;8.1;1957
Spotlight;Spotlight;8.1;2015
Room;Room;8.1;2015
The Terminator;The Terminator;8.1;1984
Hotel Rwanda;Hotel Rwanda;8.1;2004
The Exorcist;The Exorcist;8.1;1973
The Wizard of Oz;The Wizard of Oz;8.1;1939
Rush;Rush;8.1;2013
The Incredibles;The Incredibles;8.0;2004
Network;Network;8.1;1976
Stand by Me;Stand by Me;8.1;1986
Un condamné à mort s'est échappé ou Le vent souffle où il veut;A Man Escaped;8.2;1956
Hachi: A Dog's Tale;Hachi: A Dog's Tale;8.1;2009
The Sound of Music;The Sound of Music;8.1;1965
Babam ve Oglum;My Father and My Son;8.2;2005
To Be or Not to Be;To Be or Not to Be;8.1;1942
Ah-ga-ssi;The Handmaiden;8.1;2016
Into the Wild;Into the Wild;8.1;2007
La battaglia di Algeri;The Battle of Algiers;8.1;1966
The Iron Giant;The Iron Giant;8.1;1999
The Grapes of Wrath;The Grapes of Wrath;8.1;1940
Amores perros;Amores perros;8.0;2000
Rebecca;Rebecca;8.1;1940
The Help;The Help;8.1;2011
Cool Hand Luke;Cool Hand Luke;8.0;1967
Koe no katachi;A Silent Voice;8.1;2016
Paris, Texas;Paris, Texas;8.1;1984
Todo sobre mi madre;All About My Mother;7.8;1999;;
Skazany na bluesa;Skazany na bluesa;6.9;2005;;
Puss in Boots: The Last Wish;Puss in Boots: The Last Wish;7.8;2022;;
Baraka;Baraka;8.5;1992;;
Big Fish;Big Fish;8.0;2003;;
 Popiól i diament;Ashes and Diamonds;7.7;1958;;
Donnie Brasco;Donnie Brasco;7.7;1997;;
Dangerous Liaisons;Dangerous Liaisons;7.5;1988;;
 Vabank;Hit the Bank;7.9;1981;;
Atonement;Atonement;7.8;2007;;
 Who Am I - Kein System ist sicher;Who Am I;7.4;2014;;
Enemy at the Gates;Enemy at the Gates;7.5;2001;;
Die Abtei des Verbrechens: Umberto Ecos 'Der Name der Rose' wird verfilmt;Die Abtei des Verbrechens: Umberto Ecos 'Der Name der Rose' wird verfilmt;6.4;1986;;
And Now for Something Completely Different;And Now for Something Completely Different;7.5;1971;;
 Men of Honor;Men of Honour;7.2;2000;;
Jojo Rabbit;Jojo Rabbit;7.9;2019;;
 Krótki film o zabijaniu;A Short Film About Killing;8.0;1988;;
Thelma & Louise;Thelma & Louise;7.6;1991;;
Senna;Senna;8.3;2024;;
A Dog's Purpose;A Dog's Purpose;7.2;2017;;
 Yip Man 4;Ip Man 4;7.0;2019;;
Mystic River;Mystic River;7.9;2003;;
As Good as It Gets;As Good as It Gets;7.7;1997;;
Hidden Figures;Hidden Figures;7.8;2016;;
The Fighter;The Fighter;7.8;2010;;
Hair;Hair;7.5;1979;;
Dlug;Dlug;7.8;1999;;
The Last King of Scotland;The Last King of Scotland;7.6;2006;;
Star Wars: Episode III - Revenge of the Sith;Star Wars: Episode III - Revenge of the Sith;7.6;2005;;
Pocahontas;Pocahontas;6.7;1995;;
Deadpool 2;Deadpool 2;7.6;2018;;
The Life of David Gale;The Life of David Gale;7.5;2003;;
 Trois couleurs: Rouge;Three Colours: Red;8.1;1994;;
 Dzien swira;Day of the Wacko;8.1;2002;;
Thor: Ragnarok;Thor: Ragnarok;7.9;2017;;
Desert Flower;Desert Flower;7.3;2009;;
 Yip Man 4;Ip Man 4;7.0;2019;;
Lethal Weapon;Lethal Weapon;7.6;1987;;
 Chce sie zyc;Life Feels Good;7.6;2013;;
Annie Hall;Annie Hall;8.0;1977;;
Rosemary's Baby;Rosemary's Baby;8.0;1968;;
The Piano Lesson;The Piano Lesson;6.2;2024;;
Bohemian Rhapsody;Bohemian Rhapsody;7.9;2018;;
Moana 2;Moana 2;7.0;2024;;
Love Actually;Love Actually;7.6;2003;;
Primal Fear;Primal Fear;7.7;1996;;
The Nightmare Before Christmas;The Nightmare Before Christmas;7.9;1993;;
Misery;Misery;7.8;1990;;
I Am Sam;I Am Sam;7.6;2001;;
 Män som hatar kvinnor;The Girl with the Dragon Tattoo;7.8;2009;;
The Curious Case of Benjamin Button;The Curious Case of Benjamin Button;7.8;2008;;
Pay It Forward;Pay It Forward;7.2;2000;;
Law Abiding Citizen;Law Abiding Citizen;7.4;2009;;
Pirates of the Caribbean: The Curse of the Black Pearl;Pirates of the Caribbean: The Curse of the Black Pearl;8.1;2003;;
My Sister's Keeper;My Sister's Keeper;7.3;2009;;
Felon;Felon;7.4;2008;;
The Hobbit: An Unexpected Journey;The Hobbit: An Unexpected Journey;7.8;2012;;
Harry Potter and the Goblet of Fire;Harry Potter and the Goblet of Fire;7.7;2005;;
 Yedinci Kogustaki Mucize;Miracle in Cell No. 7;8.2;2019;;
Fear and Loathing in Las Vegas;Fear and Loathing in Las Vegas;7.5;1998;;
 Ostatnia rodzina;The Last Family;7.4;2016;;
Cinderella Man;Cinderella Man;8.0;2005;;
 Krótki film o zabijaniu;A Short Film About Killing;8.0;1988;;
Erin Brockovich;Erin Brockovich;7.4;2000;;
A Walk to Remember;A Walk to Remember;7.3;2002;;
Promising Young Woman;Promising Young Woman;7.5;2020;;
Pink Floyd: The Wall;Pink Floyd: The Wall;8.0;1982;;
The Bourne Identity;The Bourne Identity;7.8;2002;;
The Perks of Being a Wallflower;The Perks of Being a Wallflower;7.9;2012;;
Persepolis;Persepolis;8.0;2007;;
Dancer in the Dark;Dancer in the Dark;7.9;2000;;
Dances with Wolves;Dances with Wolves;8.0;1990;;
August Rush;August Rush;7.4;2007;;
Casino Royale;Casino Royale;8.0;2006;;
Natural Born Killers;Natural Born Killers;7.2;1994;;
A Time to Kill;A Time to Kill;7.5;1996;;
Plac Zbawiciela;Plac Zbawiciela;7.4;2006;;
 Przesluchanie;Interrogation;7.9;1989;;
 Vabank;Hit the Bank;7.9;1981;;
Enter the Dragon;Enter the Dragon;7.6;1973;;
 Tylko nie mów nikomu;Tell No One;8.2;2019;;
 Vozvrashchenie;The Return;7.9;2003;;
How to Train Your Dragon 2;How to Train Your Dragon 2;7.8;2014;;
 Män som hatar kvinnor;The Girl with the Dragon Tattoo;7.8;2009;;
 Katedra;The Cathedral;7.2;2002;;
Ocean's Eleven;Ocean's Eleven;7.7;2001;;
Dogville;Dogville;8.0;2003;;
Akira;Akira;8.0;1988;;
 Chlopi;The Peasants;7.6;2023;;
Carlito's Way;Carlito's Way;7.9;1993;;
 Män som hatar kvinnor;The Girl with the Dragon Tattoo;7.8;2009;;
Platoon;Platoon;8.1;1986;;
Night on Earth;Night on Earth;7.7;1991;;
